FeatureID,Name,Formula,Annotation_level,use_Sirius_class
FT_1.123_413.12472,Curcumin,C21 H20 O6,L1,na
FT_1.213_165.05561,Acetovanillone,C9 H10 O3,L1,na
FT_1.230_285.20715,Hexadecanedioic acid,C16 H30 O4,L1,na
FT_1.242_161.02436,Umbelliferone,C9 H6 O3,L1,na
FT_1.446_195.06632,Hydroferulic acid,C10 H12 O4,L1,na
FT_1.462_165.05558,3-(3-Hydroxyphenyl)propionic Acid,C9 H10 O3,L1,na
FT_1.488_193.05073,Ferulic acid,C10 H10 O4,L1,na
FT_1.579_173.08198,Suberic acid,C8 H14 O4,L1,na
FT_1.640_151.03998,4-Acetylresorcinol,C8 H8 O3,L1,na
FT_1.654_179.03496,Caffeic acid,C9 H8 O4,L1,na
FT_1.671_167.03488,Vanillic acid,C8 H8 O4,L1,na
FT_1.676_165.05559,Acetovanillone,C9 H10 O3,L1,na
FT_1.691_197.04576,Syringic acid,C9 H10 O5,L1,na
FT_1.848_115.00373,Maleic acid,C4 H4 O4,L1,na
FT_11.142_341.10896,Sucrose,C12 H22 O11,L1,na
FT_11.959_387.11469,alpha-D-Lactose,C12 H22 O11,L1,na
FT_12.049_146.04593,D-Glutamic acid,C5 H9 N O4,L1,na
FT_12.101_387.11469,D-(+)-Turanose,C12 H22 O11,L1,na
FT_14.984_259.83946,O-Phospho-L-tyrosine,C9 H12 N O6 P,L1,na
FT_2.051_115.04012,Levulinic acid,C5 H8 O3,L1,na
FT_2.246_103.04010,3-hydroxybutyric acid,C4 H8 O3,L1,na
FT_2.491_103.04008,3-hydroxybutyric acid,C4 H8 O3,L1,na
FT_2.673_131.03504,2-Methylsuccinic acid,C5 H8 O4,L1,na
FT_3.028_103.04009,2-Methyllactic acid,C4 H8 O3,L1,na
FT_3.331_134.04729,Adenine,C5 H5 N5,L1,na
FT_3.571_117.01938,Succinic acid,C4 H6 O4,L1,na
FT_3.966_243.06218,Uridine,C9 H12 N2 O6,L1,na
FT_4.385_251.07857,2'-Deoxyinosine,C10 H12 N4 O4,L1,na
FT_4.979_157.03665,Allantoin,C4 H6 N4 O3,L1,na
FT_6.179_267.07353,Inosine,C10 H12 N4 O5,L1,na
FT_6.765_266.08957,2-Deoxyguanosine,C10 H13 N5 O4,L1,na
FT_7.666_266.08821,N-Acetyl-D-mannosamine,C8 H15 N O6,L1,na
FT_7.835_141.03065,5-(Hydroxymethyl)uracil,C5 H6 N2 O3,L1,na
FT_8.842_181.07172,Mannitol,C6 H14 O6,L1,na
FT_9.044_181.07173,Mannitol,C6 H14 O6,L1,na
FT_1.543_171.06627,(-)-Corey lactone,C8 H12 O4,L2,na
FT_1.371_329.23370,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18 H34 O5,L2,na
FT_1.579_427.13995,"(2-{(1R,9S)-3-[4-(Methylsulfanyl)phenyl]-6-oxo-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-11-yl}-2-oxoethoxy)acetic acid",C22 H24 N2 O5 S,L2,na
FT_1.378_387.21788,"2,4-dihydroxy-3-[(E)-4-hydroxy-3-methyl-5-(1,2,6-trimethyl-3-oxocyclohexyl)pent-2-enyl]-6-methylbenzaldehyde",C23H3O5,L3.3,na
FT_1.190_311.22297,(±)9-HpODE,C18 H32 O4,L2,na
FT_1.287_311.22294,(±)9-HpODE,C18 H32 O4,L2,na
FT_1.436_301.10824,"1-(2,4-dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one",C17 H18 O5,L2,na
FT_1.604_301.10818,"1-(2,4-dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one",C17 H18 O5,L2,na
FT_1.096_411.14524,dalpanol,C23H24O7,L3.3,na
FT_1.208_411.14507,dalpanol,C23H24O7,L3.3,na
FT_1.380_185.08194,1-(Carboxymethyl)cyclohexanecarboxylic acid,C9 H14 O4,L2,na
FT_1.572_185.08197,1-(Carboxymethyl)cyclohexanecarboxylic acid,C9 H14 O4,L2,na
FT_1.827_185.08198,1-(Carboxymethyl)cyclohexanecarboxylic acid,C9 H14 O4,L2,na
FT_17.118_421.07555,"1,5,8-Trihydroxy-9-oxo-9H-xanthen-3-yl beta-D-glucopyranoside",C19 H18 O11,L2,na
FT_1.347_327.12404,10-(4-Sulfophenyl) decanoic acid,C16 H24 O5 S,L2,na
FT_1.448_327.12395,10-(4-Sulfophenyl) decanoic acid,C16 H24 O5 S,L2,na
FT_1.156_271.22795,16-Hydroxyhexadecanoic acid,C16 H32 O3,L2,na
FT_1.171_331.19173,19(R)-Hydroxy prostaglandin A2,C20 H30 O5,L2,na
FT_1.477_179.07139,2'-Hydroxy-4'-methoxypropiophenone,C10H12O3,L3.3,na
FT_1.127_463.14008,"2-(1-naphthylmethylidene)-1,2,3,4-tetrahydronaphthalen-1-one 1-(2,4-dinitrophenyl)hydrazone",C27 H20 N4 O4,L2,na
FT_1.602_353.06673,6-acetoxy-7-acetyl-1-hydroxy-3-methoxyanthraquinone,C19H14O7,L3.3,na
FT_1.672_381.19226,"2-[(2S,3R,4S,5R)-3,4-Dihydroxy-5-{[(isopropylcarbamoyl)amino]methyl}tetrahydro-2-furanyl]-N-[2-(dimethylamino)ethyl]acetamide",C15 H30 N4 O5,L2,na
FT_2.353_195.06628,2-Hydroxy-4-(4-hydroxyphenyl)butanoic acid,C10 H12 O4,L2,na
FT_1.512_195.03001,Haematommic Acid,C9H8O5,L3.3,na
FT_1.206_329.17611,"3,3'-Diisopropyl-6,6'-dimethyl-2,2',5,5'-biphenyltetrol",C20 H26 O4,L2,na
FT_1.306_329.17608,"3,3'-Diisopropyl-6,6'-dimethyl-2,2',5,5'-biphenyltetrol",C20 H26 O4,L2,na
FT_14.029_549.16735,melitose,C18H32O16,L3.3,na
FT_14.255_549.16737,melitose,C18H32O16,L3.3,na
FT_1.273_283.06127,3-{[2-(3-Cyano-2-pyridinyl)hydrazino]carbonyl}-2-pyrazinecarboxylic acid,C12 H8 N6 O3,L2,na
FT_1.844_117.05577,3-Hydroxyvaleric acid,C5 H10 O3,L2,na
FT_1.940_117.05577,3-Hydroxyvaleric acid,C5 H10 O3,L2,na
FT_3.380_215.09252,"3-methyl-4-[2-(2-methylphenyl)hydrazono]-4,5-dihydro-1H-pyrazol-5-one",C11 H12 N4 O,L2,na
FT_1.160_287.09263,"4,5-diphenyl-2,3-dihydro-1H-pyrazolo[3,4-c]pyridazin-3-one",C17 H12 N4 O,L2,na
FT_1.223_365.19704,"4-[2-(2,3-Dihydroxy-5,6,8a-trimethyloctahydro-2H-spiro[naphthalene-1,2'-oxiran]-5-yl)ethyl]-5-hydroxy-2(5H)-furanone",C20 H30 O6,L2,na
FT_1.268_325.18447,4-Dodecylbenzenesulfonic acid,C18 H30 O3 S,L2,na
FT_1.142_179.03495,4-Hydroxyphenylpyruvic acid,C9 H8 O4,L2,na
FT_1.266_175.03993,4-Methylumbelliferone,C10 H8 O3,L2,na
FT_1.687_175.03995,4-Methylumbelliferone,C10 H8 O3,L2,na
FT_2.545_175.04000,4-Methylumbelliferone,C10 H8 O3,L2,na
